	BestCall	StromalScore	ImmuneScore	ESTIMATEScore	ssgsea_rna_c4	ssgsea_rna_c3	ssgsea_rna_c2	ImmuneClustC4
C3N.02252	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02255	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.02256	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.02275	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02279	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02283	Wound_Healing	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.02284	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.02285	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02288	Wound_Healing	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02289	Wound_Healing	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02295.T	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02300	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02333	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02339	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02374	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02375	IFN-Gamma	False	True	False	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02379	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02380	Inflammatory	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02421	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02422	Inflammatory	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02423	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02424	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02425	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.02426	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02433	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02434	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.02435	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02494	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02523	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
